"X","logFC","AveExpr","t","P.Value","adj.P.Val","B","phrog","function.","product","annotation_method","bitscore","fident","evalue","qStart","qEnd","qLen","tStart","tEnd","tLen","annotation_source","tophit_protein","function_with_highest_bitscore_proportion","top_bitscore_proportion_not_unknown","head_and_packaging_bitscore_proportion","integration_and_excision_bitscore_proportion","tail_bitscore_proportion","moron_auxiliary_metabolic_gene_and_host_takeover_bitscore_proportion","DNA_RNA_and_nucleotide_metabolism_bitscore_proportion","connector_bitscore_proportion","transcription_regulation_bitscore_proportion","lysis_bitscore_proportion","other_bitscore_proportion","unknown_function_bitscore_proportion"
"virus_comp_1965_cycle_1_6",0.0750551040791212,0.539550242175496,4.10958591221955,0.0011215887416382,0.00345491756585005,-0.748496861045163,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1965_cycle_1_8",0.0764978397874916,0.560353085373442,4.36019420154371,0.0006948625768379,0.00244150634095806,-0.285857046786977,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1965_cycle_1_9",0.0730369795524645,0.649474254878305,4.18359176742412,0.000973091756638677,0.00311490438387916,-0.607007758248321,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1971_cycle_1_10",0.0651048909018804,0.149556990058814,5.1214008634937,1.14220462235452e-05,0.000193284756224407,3.2686591501732,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2012_cycle_1_1",0.0833944768344545,0.305623249634706,4.11505752819936,0.000354323425987768,0.00159752049848464,0.100345850636303,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2028_cycle_1_5",0.0996384016516242,0.435292501047606,3.70177657970012,0.00113763865277975,0.00349104601117165,-0.95909396875313,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,558,0.47,8.898e-14,6,209,213,267,470,473,"foldseek","envhog_protein297718","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"virus_comp_2028_cycle_1_7",0.110946306023553,0.42638343384041,6.54064659688104,2.42351239961868e-07,1.57891832835157e-05,6.9677043194416,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2028_cycle_1_8",0.0797935833277788,0.453231354614565,4.32087138254168,7.2664232741047e-05,0.00058565873357681,1.44961832316281,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2042_cycle_1_8",0.0823736544276948,0.216895881100917,5.6361508273342,5.23414055099987e-07,2.72803405518113e-05,6.06684851849156,"95","integration and excision","integrase",NA,225,0.437,0.0003102,29,108,140,42,120,260,"foldseek","envhog_protein1132152","integration and excision",1,0,1,0,0,0,0,0,0,0,0
"virus_comp_2060_cycle_1_1",0.0680059880676822,0.349670299683767,3.42900516817517,0.00466640471451802,0.00981615749369908,-2.10379962069676,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2060_cycle_1_10",0.0667982680505076,0.43522202767665,3.47276797790049,0.00429561152775711,0.00921051253698463,-2.01952288818733,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2060_cycle_1_2",0.0685935479745581,0.475063175431545,3.51041257068372,0.0040006135740589,0.00876591841984094,-1.94985093290712,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2060_cycle_1_5",0.067559320571392,0.460657579691608,3.46177446840137,0.00438585348646681,0.00935455215625849,-2.03868217796855,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1262,0.32,5.46e-30,0,610,612,0,564,570,"foldseek","envhog_protein1238372","DNA, RNA and nucleotide metabolism",0.999,0,0,0,0,0.999,0,0,0,0,0
"virus_comp_2063_cycle_1_1",0.0905021626004546,0.615046156668618,4.7794076827703,0.000185046270105203,0.00105137481081575,0.895416246679329,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2063_cycle_1_2",0.0928981124572458,0.448803508672252,5.00876812710836,0.000114965594993636,0.000776166685371542,1.347553171503,"514","head and packaging","major head protein",NA,204,0.658,0.0001931,0,84,88,8,92,126,"foldseek","envhog_protein2138048","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"virus_comp_2063_cycle_1_3",0.0890181615518408,0.543272838639507,4.91015047848147,0.00014097950991065,0.000894624844546641,1.15379028955517,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1178,0.331,1.013e-28,1,555,560,25,581,586,"foldseek","envhog_protein447629","DNA, RNA and nucleotide metabolism",0.997,0.001,0,0,0,0.997,0,0,0,0,0
"virus_comp_2063_cycle_1_4",0.089004342250206,0.333791042858633,4.62048710143201,0.000258129909255998,0.00132592616988396,0.566227774175545,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2063_cycle_1_6",0.0933694805577475,0.500799306740694,5.15350806069327,8.53861303533173e-05,0.000651903092873276,1.63472486833244,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2063_cycle_1_7",0.0895602669989667,0.542628601851681,4.96459907947464,0.000125947337178001,0.000823058745175527,1.26215165724334,"8689","tail","pilot protein for DNA ejection",NA,481,0.365,5.09e-10,0,362,375,0,322,378,"foldseek","envhog_protein314327","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_2063_cycle_1_8",0.0907899668970162,0.561266642008556,4.83620500670958,0.000164388812519365,0.000982324941696905,1.00728379220508,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2063_cycle_1_9",0.0916896115124239,0.544897183327899,4.78739032179681,0.000181989667210855,0.00104471865542857,0.909265011207591,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2073_cycle_1_1",0.0913669976407639,0.593964655060546,3.39694603532775,0.00263679040600195,0.00651118995392396,-1.72414512965473,"514","head and packaging","major head protein",NA,729,0.415,2.117e-19,6,458,459,22,482,623,"foldseek","envhog_protein2124162","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"virus_comp_2073_cycle_1_2",0.0833455775409862,0.43253369411184,3.71991930166983,0.00121881227579337,0.00367335172403723,-1.00828497706328,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2073_cycle_1_4",0.0841967570414092,0.3115253150932,4.11580208746757,0.000753001714026919,0.00257853421263266,-0.465364145069885,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2073_cycle_1_5",0.0834242817703418,0.348544885708167,4.45106922694639,0.000368991345474574,0.0016316596939594,0.221344692751671,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2073_cycle_1_6",0.0886248858302571,0.463041156379281,3.7635201358224,0.00160270650434245,0.00451042456837627,-1.18161580557032,"8689","tail","pilot protein for DNA ejection",NA,322,0.786,3.54e-06,0,119,397,0,121,128,"foldseek","envhog_protein1542228","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_2073_cycle_1_7",0.0866943659862069,0.39286666965971,3.81935989033652,0.0014215286144097,0.00412802686980903,-1.07023833253491,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2073_cycle_1_8",0.0862277678390652,0.450478198832161,4.33902967763143,0.000467928281216627,0.00188182268649773,-0.00275510846964266,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2080_cycle_1_8",0.0554226617221463,0.327453052606994,3.2418497463738,0.00273712698686787,0.00669551276074249,-1.86107959152534,"894","lysis","endolysin",NA,483,0.415,5.077e-12,1,120,121,17,146,157,"foldseek","envhog_protein997999","lysis",0.915,0.001,0,0.022,0.001,0.001,0,0,0.915,0.061,0
"virus_comp_2089_cycle_1_11",0.122612000698491,0.518999907873554,4.69759009652669,9.29675638288192e-05,0.000681486460059344,1.41883255998758,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2089_cycle_1_12",0.138238687754143,0.739470352489181,5.41666247560417,6.12552110465857e-06,0.000137036731951959,3.9070587015711,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2089_cycle_1_3",0.117043946134628,0.461146881179976,4.54997462930934,8.4832951085212e-05,0.000651903092873276,1.42985749655915,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2089_cycle_1_4",0.0905402043010569,0.485322438591823,5.65068410410422,2.21176984554929e-07,1.49065660797451e-05,6.82642949331223,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2089_cycle_1_5",0.121293579786101,0.477462879000073,5.61918816171572,6.95941690655904e-06,0.00014600288095516,3.85388541763534,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2089_cycle_1_7",0.124580456815883,0.584845154457606,4.92870290919211,5.1921887329176e-05,0.00047421181675175,1.97368650234286,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2089_cycle_1_8",0.11436112853036,0.427715587078517,3.8778309567359,0.000733365021563025,0.00253020641596634,-0.544393621022587,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1006,0.623,2.088e-24,2,252,265,27,267,473,"foldseek","envhog_protein297718","DNA, RNA and nucleotide metabolism",0.999,0.001,0,0,0,0.999,0,0,0,0,0
"virus_comp_2089_cycle_1_9",0.121572028183748,0.410486124902596,4.85033883263443,0.000102075993404572,0.000721546217393259,1.39847717549868,"8689","tail","pilot protein for DNA ejection",NA,787,0.625,5.609e-18,0,290,292,0,290,291,"foldseek","envhog_protein924458","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_2102_cycle_1_9",0.0921881423621696,0.285244966080964,4.43227167748823,0.000266894719712847,0.00135141380745793,0.475890272943112,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_1",0.136206297249157,0.700322266688659,5.60148320664821,1.87988706607442e-05,0.000248832723906828,3.01472034510605,"514","head and packaging","major head protein",NA,368,0.315,2.205e-07,35,354,533,0,307,308,"foldseek","envhog_protein997823","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"virus_comp_2103_cycle_1_10",0.133577981280056,0.626192420951502,6.46159388083343,2.92492187439346e-06,8.7950150823108e-05,4.77629369154525,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_2",0.127875645191389,0.443095091578032,7.06300391221578,3.07207894987164e-06,9.16698978247958e-05,4.81626481063926,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_3",0.128229301914622,0.575255085738428,6.03741850106774,7.23858975981404e-06,0.000146996670942632,3.92000112552367,"8689","tail","pilot protein for DNA ejection",NA,783,0.621,5.815e-18,0,287,292,0,287,291,"foldseek","envhog_protein924458","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_2103_cycle_1_4",0.130053403446858,0.654017339086432,5.64776978724429,1.69694294637632e-05,0.000236577576532936,3.11214612876144,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1419,0.585,2.709e-33,0,368,375,25,382,473,"foldseek","envhog_protein297718","DNA, RNA and nucleotide metabolism",0.997,0.001,0,0,0,0.997,0,0,0,0,0
"virus_comp_2103_cycle_1_5",0.126419399449746,0.483216171496519,7.45760756957134,1.55603941174276e-07,1.26781308013969e-05,7.48191232687631,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_6",0.129957554457046,0.556409924537925,7.19373725549864,6.47117418624255e-07,3.08485608463684e-05,6.19265675447294,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_7",0.140225977149146,0.631147586844665,7.21628365507165,2.54211755036253e-08,4.32049456711615e-06,9.07400665956505,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_8",0.113431236931112,0.663574641223623,5.57219512026491,4.83141241904878e-06,0.000122026067215912,4.1519666894679,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2103_cycle_1_9",0.122768378800433,0.537807360334716,5.25953744588076,1.16069206085226e-05,0.000193895096832115,3.32048943896011,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2106_cycle_1_1",0.0842814900020031,0.435637881040921,3.22229304552213,0.00294511088523775,0.00703694281808947,-1.92053106928607,"514","head and packaging","major head protein",NA,340,0.291,3.496e-06,132,437,486,5,306,308,"foldseek","envhog_protein997823","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"virus_comp_2106_cycle_1_2",0.0969989616084981,0.38874127441405,5.01245216736548,1.23103401116801e-05,0.000198847601225445,3.18319434193851,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2106_cycle_1_4",0.111172707787494,0.466943026409745,4.39298064775023,0.00017151345010387,0.00100818958865568,0.808467675362297,"8689","tail","pilot protein for DNA ejection",NA,785,0.631,1.284e-17,0,287,292,0,287,291,"foldseek","envhog_protein924458","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_2106_cycle_1_5",0.0974687376798389,0.737631301486368,3.22900694570063,0.00303320050896854,0.00718124844964813,-1.92527555511243,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1627,0.564,8.026e-41,0,456,460,25,470,473,"foldseek","envhog_protein297718","DNA, RNA and nucleotide metabolism",0.997,0.001,0,0,0,0.997,0,0,0,0,0
"virus_comp_2106_cycle_1_7",0.076129293236984,0.380567129546495,3.31940091500376,0.00271000926561803,0.00665416219805331,-1.79971290235317,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2106_cycle_1_8",0.0734454105478844,0.312743210606599,3.12262235176003,0.0039834116033202,0.00873802242277141,-2.19351402790954,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2106_cycle_1_9",0.0965760246523764,0.460016270797123,3.93143764971704,0.000570580099105983,0.00214427023496427,-0.332848222084807,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2109_cycle_1_1",0.100414195967185,0.392080958342303,4.73684668309342,6.96377368920355e-05,0.000576101883197605,1.6611125154154,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2109_cycle_1_11",0.074461643299607,0.400899564037118,4.7309146100901,1.20482728844419e-05,0.000197175321424412,3.0723047258728,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2109_cycle_1_2",0.113460490719344,0.539993406938532,5.45657641374988,6.67878570196147e-06,0.000141942390610495,3.8418903833781,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2109_cycle_1_3",0.105995451696416,0.49136271675302,4.83894354710402,3.77920132080316e-05,0.000385153479090663,2.19285101687411,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2109_cycle_1_5",0.135970599720932,0.612465908193935,6.08282390489461,8.959052582789e-07,3.91119763960679e-05,5.72781832301105,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,545,0.475,3.04e-13,6,209,213,267,470,473,"foldseek","envhog_protein297718","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"virus_comp_2109_cycle_1_6",0.0952636116722243,0.437500887926074,3.97841928360078,0.000535669530419454,0.00205690785305466,-0.264256773935572,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,970,0.584,2.206e-23,2,261,265,27,267,473,"foldseek","envhog_protein297718","DNA, RNA and nucleotide metabolism",0.999,0.001,0,0,0,0.999,0,0,0,0,0
"virus_comp_2109_cycle_1_7",0.116223682357129,0.389904374911183,5.41503288412818,1.53654743024635e-05,0.000226655241691811,3.13026797730243,"8689","tail","pilot protein for DNA ejection",NA,768,0.631,3.321e-17,0,287,292,0,287,291,"foldseek","envhog_protein924458","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_2109_cycle_1_8",0.101323535122503,0.289368116035803,5.58062938325173,1.96878666528833e-05,0.000257010864899117,2.96637690134723,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2109_cycle_1_9",0.118567774915691,0.63802892320396,5.93826880338747,2.62410151337997e-07,1.65445367996812e-05,6.7627110953301,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2136_cycle_1_7",0.0754008810208139,0.383620079910414,3.70032204716576,0.00222277700189209,0.00573993608144003,-1.43982493225836,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2139_cycle_1_11",0.0792541110139407,0.341815975522774,3.45747017744019,0.00191689526782217,0.00514638983648136,-1.49167481111659,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2139_cycle_1_3",0.0565631844745811,0.369814691460364,3.40342885399902,0.00102860054422454,0.00325044424201595,-1.08173382609457,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2152_cycle_1_7",0.150769874677443,0.459410708319792,5.38131848920773,4.80802849354694e-06,0.000122026067215912,4.09492497506295,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2163_cycle_1_11",0.0851689339383013,0.224882148052712,5.59588463558278,9.81036733421196e-06,0.00017431239049743,3.54971517785241,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2166_cycle_1_6",0.0604677038564081,0.436585712279155,3.60732497543934,0.000525429444666736,0.00203558344816875,-0.467072059786928,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2166_cycle_1_7",0.0555583017070843,0.394441648531863,3.05518714946631,0.00328428869583176,0.00762821420796575,-2.11348742150776,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2170_cycle_1_10",0.0736607834227786,1.07134791837449,4.14457555324338,7.58341999268468e-05,0.000601082857983525,1.34013560346264,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1246,0.765,1.766e-29,4,269,276,23,288,586,"foldseek","envhog_protein447629","DNA, RNA and nucleotide metabolism",0.999,0.001,0,0,0,0.999,0,0,0,0,0
"virus_comp_2170_cycle_1_8",0.0703426219823786,0.699849925275376,3.86003845120966,0.00118642283767961,0.00359513711045706,-0.896241094086313,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2171_cycle_1_7",0.0621633968418879,0.576638902126209,3.1696659537228,0.00240928091962459,0.0060372631833261,-1.82824909794971,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2171_cycle_1_9",0.0732810851544879,0.720197228642851,3.78268444027622,0.000345318282939588,0.00157325077856742,-0.0424801775239327,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2173_cycle_1_5",0.0663127975673671,0.193780752112502,4.26319917506443,5.49358983760932e-05,0.000491406010874482,1.61916239009602,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2176_cycle_1_7",0.0642445785189355,0.321622089731104,3.54184580491313,0.00101419297896699,0.00322078736023655,-0.988440485028327,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2179_cycle_1_4",0.121323956918171,0.317728562315576,5.27248960564186,2.88322640212558e-05,0.000325032128699575,2.55335522482887,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2188_cycle_1_1",0.072635415110161,0.617361254850683,3.8139731920721,0.00198707365802206,0.00527965005642228,-1.29612049448526,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2188_cycle_1_2",0.0745007787240261,0.572013438796063,3.68409616268001,0.00255969439673022,0.00634927690805601,-1.54199251703531,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2188_cycle_1_3",0.0742355347972905,0.645675177305688,3.83590502422321,0.00190409362780551,0.00512588376398687,-1.25422660007775,"942","DNA, RNA and nucleotide metabolism","replication initiation protein",NA,1673,0.705,7.432e-39,0,410,421,23,417,586,"foldseek","envhog_protein447629","DNA, RNA and nucleotide metabolism",0.999,0.001,0,0,0,0.999,0,0,0,0,0
"virus_comp_2188_cycle_1_4",0.0745351726332876,0.572199838991434,3.82271736817875,0.0019535572552374,0.00522329364618535,-1.28211382353466,"894","lysis","endolysin",NA,538,0.729,1.058e-13,0,95,98,26,119,121,"foldseek","envhog_protein1762387","lysis",0.911,0.003,0,0.016,0.002,0.001,0,0,0.911,0.068,0
"virus_comp_2188_cycle_1_5",0.0765401172150249,0.61713607763931,4.59712791808722,4.30393828142085e-05,0.000416466948209535,1.99243295095206,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_2188_cycle_1_6",0.0729732209745906,0.628285374030124,3.72003644468791,0.00238623025037736,0.0059947133989236,-1.47170484968197,"8689","tail","pilot protein for DNA ejection",NA,552,0.46,6.81e-11,0,300,365,19,322,378,"foldseek","envhog_protein314327","tail",1,0,0,1,0,0,0,0,0,0,0
